gm;manejer
asyik;mantap
kukiner;kuliner
street;jalan
rekomendead;rekomendasi
memuaskn;puas
lux;luxuri
mengecewakan;kecewa
nyesel;menyesal
pas;tepat
mantaapp;mantap
ksini;sini
mpit;sempit
lemar;lemari
cil;kecil
nginap;tinggal
inap;tinggal
staycayion;wisata
